category,product_name,product_url,date,verified_purchase,star_rating,review_text,variant,helpful_count,language_type,sentiment_polarity,aspects,authenticity,notes
electronics,(1.5M/3M/5M/10M) 3.5 MM Male Jack to AV 2 RCA Male Stereo Music Audio Cable Cord AUX for Mp3 Pod Phone TV Sound Speakers,https://www.daraz.lk/products/15m3m5m10m-35-mm-male-jack-to-av-2-rca-male-stereo-music-audio-cable-cord-aux-for-mp3-pod-phone-tv-sound-speakers-i122935909.html,3/25/25,TRUE,5,"I bought this, you can buy it from this seller without fear. 
බය නැතුව ගන්න මේ සේලර් ගෙන් මම ගත්තා 👌 ගොඩක් කොලට්‍ යි මේක....",වර්ණ කාණ්ඩය:5M,4,,,,,
electronics,(1.5M/3M/5M/10M) 3.5 MM Male Jack to AV 2 RCA Male Stereo Music Audio Cable Cord AUX for Mp3 Pod Phone TV Sound Speakers,https://www.daraz.lk/products/15m3m5m10m-35-mm-male-jack-to-av-2-rca-male-stereo-music-audio-cable-cord-aux-for-mp3-pod-phone-tv-sound-speakers-i122935909.html,1/22/25,TRUE,5,"Item received very fast , in good Condition and as mentioned on the Advertisement. I didn’t get a chance to check if it is working yet and I believe that it will be alright too… Overall satisfied. Seller recommended as per the above mentioned details.",Color Family:3M,2,,,,,
electronics,(1.5M/3M/5M/10M) 3.5 MM Male Jack to AV 2 RCA Male Stereo Music Audio Cable Cord AUX for Mp3 Pod Phone TV Sound Speakers,https://www.daraz.lk/products/15m3m5m10m-35-mm-male-jack-to-av-2-rca-male-stereo-music-audio-cable-cord-aux-for-mp3-pod-phone-tv-sound-speakers-i122935909.html,6/6/26,TRUE,5,thankfully Oder is completely delivery successful really appreciate 👍,Color Family:10M,0,,,,,
electronics,(1.5M/3M/5M/10M) 3.5 MM Male Jack to AV 2 RCA Male Stereo Music Audio Cable Cord AUX for Mp3 Pod Phone TV Sound Speakers,https://www.daraz.lk/products/15m3m5m10m-35-mm-male-jack-to-av-2-rca-male-stereo-music-audio-cable-cord-aux-for-mp3-pod-phone-tv-sound-speakers-i122935909.html,7/27/24,TRUE,5,"works well , good product and thanks for the good seller supplying the order quickly than expected time",Color Family:1.5M,3,,,,,
electronics,(1.5M/3M/5M/10M) 3.5 MM Male Jack to AV 2 RCA Male Stereo Music Audio Cable Cord AUX for Mp3 Pod Phone TV Sound Speakers,https://www.daraz.lk/products/15m3m5m10m-35-mm-male-jack-to-av-2-rca-male-stereo-music-audio-cable-cord-aux-for-mp3-pod-phone-tv-sound-speakers-i122935909.html,10/9/24,TRUE,5,කිසිම අවුලක් නෑ දැන් අරං දවස් 3ක් විතර ඇති ඒත් කිසිම අවුලක් නැ ☺️😍,Color Family:1.5M,4,,,,,
electronics,(1.5M/3M/5M/10M) 3.5 MM Male Jack to AV 2 RCA Male Stereo Music Audio Cable Cord AUX for Mp3 Pod Phone TV Sound Speakers,https://www.daraz.lk/products/15m3m5m10m-35-mm-male-jack-to-av-2-rca-male-stereo-music-audio-cable-cord-aux-for-mp3-pod-phone-tv-sound-speakers-i122935909.html,7/27/24,TRUE,5,"works well , good product and thanks for the good seller supplying the order quickly than expected time",Color Family:1.5M,3,,,,,
electronics,(1.5M/3M/5M/10M) 3.5 MM Male Jack to AV 2 RCA Male Stereo Music Audio Cable Cord AUX for Mp3 Pod Phone TV Sound Speakers,https://www.daraz.lk/products/15m3m5m10m-35-mm-male-jack-to-av-2-rca-male-stereo-music-audio-cable-cord-aux-for-mp3-pod-phone-tv-sound-speakers-i122935909.html,10/9/24,TRUE,5,කිසිම අවුලක් නෑ දැන් අරං දවස් 3ක් විතර ඇති ඒත් කිසිම අවුලක් නැ ☺️😍,Color Family:1.5M,4,,,,,
electronics,(1.5M/3M/5M/10M) 3.5 MM Male Jack to AV 2 RCA Male Stereo Music Audio Cable Cord AUX for Mp3 Pod Phone TV Sound Speakers,https://www.daraz.lk/products/15m3m5m10m-35-mm-male-jack-to-av-2-rca-male-stereo-music-audio-cable-cord-aux-for-mp3-pod-phone-tv-sound-speakers-i122935909.html,4/11/26,TRUE,5,Good product that is really worth this price. Thank you Daraz,Color Family:5M,0,,,,,
electronics,(1.5M/3M/5M/10M) 3.5 MM Male Jack to AV 2 RCA Male Stereo Music Audio Cable Cord AUX for Mp3 Pod Phone TV Sound Speakers,https://www.daraz.lk/products/15m3m5m10m-35-mm-male-jack-to-av-2-rca-male-stereo-music-audio-cable-cord-aux-for-mp3-pod-phone-tv-sound-speakers-i122935909.html,3/18/25,TRUE,5,අව්ලක් නෑ හොදට වැඩ කරනවා..දවස් දෙකෙන් ආවා..🙂💗,Color Family:1.5M,1,,,,,
electronics,(1.5M/3M/5M/10M) 3.5 MM Male Jack to AV 2 RCA Male Stereo Music Audio Cable Cord AUX for Mp3 Pod Phone TV Sound Speakers,https://www.daraz.lk/products/15m3m5m10m-35-mm-male-jack-to-av-2-rca-male-stereo-music-audio-cable-cord-aux-for-mp3-pod-phone-tv-sound-speakers-i122935909.html,2/26/26,TRUE,5,good product worth for money thank you daraz,Color Family:1.5M,0,,,,,
electronics,(1.5M/3M/5M/10M) 3.5 MM Male Jack to AV 2 RCA Male Stereo Music Audio Cable Cord AUX for Mp3 Pod Phone TV Sound Speakers,https://www.daraz.lk/products/15m3m5m10m-35-mm-male-jack-to-av-2-rca-male-stereo-music-audio-cable-cord-aux-for-mp3-pod-phone-tv-sound-speakers-i122935909.html,4/12/25,TRUE,5,"Very good product 
Recommend 
Worth for price",Color Family:1.5M,0,,,,,
electronics,(1.5M/3M/5M/10M) 3.5 MM Male Jack to AV 2 RCA Male Stereo Music Audio Cable Cord AUX for Mp3 Pod Phone TV Sound Speakers,https://www.daraz.lk/products/15m3m5m10m-35-mm-male-jack-to-av-2-rca-male-stereo-music-audio-cable-cord-aux-for-mp3-pod-phone-tv-sound-speakers-i122935909.html,5/30/26,TRUE,5,"Good product, also delivered quickly, Thanks",Color Family:3M,0,,,,,
electronics,(1.5M/3M/5M/10M) 3.5 MM Male Jack to AV 2 RCA Male Stereo Music Audio Cable Cord AUX for Mp3 Pod Phone TV Sound Speakers,https://www.daraz.lk/products/15m3m5m10m-35-mm-male-jack-to-av-2-rca-male-stereo-music-audio-cable-cord-aux-for-mp3-pod-phone-tv-sound-speakers-i122935909.html,2/28/26,TRUE,5,goood product and fast dilivery.thank,Color Family:1.5M,0,,,,,
electronics,(1.5M/3M/5M/10M) 3.5 MM Male Jack to AV 2 RCA Male Stereo Music Audio Cable Cord AUX for Mp3 Pod Phone TV Sound Speakers,https://www.daraz.lk/products/15m3m5m10m-35-mm-male-jack-to-av-2-rca-male-stereo-music-audio-cable-cord-aux-for-mp3-pod-phone-tv-sound-speakers-i122935909.html,5/13/25,TRUE,5,Good Product and Satisfied.,Color Family:1.5M,0,,,,,
electronics,(1.5M/3M/5M/10M) 3.5 MM Male Jack to AV 2 RCA Male Stereo Music Audio Cable Cord AUX for Mp3 Pod Phone TV Sound Speakers,https://www.daraz.lk/products/15m3m5m10m-35-mm-male-jack-to-av-2-rca-male-stereo-music-audio-cable-cord-aux-for-mp3-pod-phone-tv-sound-speakers-i122935909.html,8/13/24,TRUE,5,Works like a charm. Fast delivery.,Color Family:5M,0,,,,,
electronics,(1.5M/3M/5M/10M) 3.5 MM Male Jack to AV 2 RCA Male Stereo Music Audio Cable Cord AUX for Mp3 Pod Phone TV Sound Speakers,https://www.daraz.lk/products/15m3m5m10m-35-mm-male-jack-to-av-2-rca-male-stereo-music-audio-cable-cord-aux-for-mp3-pod-phone-tv-sound-speakers-i122935909.html,4/18/26,TRUE,5,Good,Color Family:1.5M,0,,,,,
electronics,(1.5M/3M/5M/10M) 3.5 MM Male Jack to AV 2 RCA Male Stereo Music Audio Cable Cord AUX for Mp3 Pod Phone TV Sound Speakers,https://www.daraz.lk/products/15m3m5m10m-35-mm-male-jack-to-av-2-rca-male-stereo-music-audio-cable-cord-aux-for-mp3-pod-phone-tv-sound-speakers-i122935909.html,8/10/25,TRUE,5,වටිනවා!,Color Family:1.5M,0,,,,,
electronics,(1.5M/3M/5M/10M) 3.5 MM Male Jack to AV 2 RCA Male Stereo Music Audio Cable Cord AUX for Mp3 Pod Phone TV Sound Speakers,https://www.daraz.lk/products/15m3m5m10m-35-mm-male-jack-to-av-2-rca-male-stereo-music-audio-cable-cord-aux-for-mp3-pod-phone-tv-sound-speakers-i122935909.html,12/31/25,TRUE,5,Good,Color Family:1.5M,0,,,,,
